Code,Description
19031,Mackey International Inc.: MAC
19032,Munz Northern Airlines Inc.: XY
19033,Cochise Airlines Inc.: COC
19034,Golden Gate Airlines Inc.: GSA
19035,Aeromech Inc.: RZZ
19036,Golden West Airlines Co.: GLW
19037,Puerto Rico Intl Airlines: PRN
19038,Air America Inc.: STZ
19039,Swift Aire Lines Inc.: SWT
19040,American Central Airlines: TSF
19041,Valdez Airlines: VEZ
19042,Southeast Alaska Airlines: WEB
19043,Altair Airlines Inc.: AAR
19044,Chitina Air Service: CHI
19045,Marco Island Airways Inc.: MRC
19046,Caribbean Air Services Inc.: OHZ
19047,Sundance Airlines: PRO
19048,Seair Alaska Airlines Inc.: SAI
19049,Southeast Airlines Inc.: SLZ
19050,Alaska Aeronautical Indust.: AAZ
19051,Imperial Airlines Inc.: IMP
19052,Trans Western Airlines Utah: TWA
19053,Wright Airlines Inc.: WRT
19054,Presidential Express: COL
19055,Mississippi Valley Airlines: MVA
19056,Channel Flying Inc.: CHL
19057,Rocky Mountain Airways Inc.: JCZ
19058,Midstate Airlines Inc.: MIS
19059,Sedalia Marshall Boonvl Stg: STG
19060,Inlet Airlines: CKI
19061,Command Airways Inc.: CMD
19062,Emerald Airlines: EMA
19063,Orion Air Inc.: ORI
19064,Pan Am Express: RAN
19065,Air Micronesia Inc.: AJ
19066,Sunbird Inc.: SKI
19067,Wings West Airlines: WWI
19068,Southcentral Air Inc.: AND
19069,Air Cargo Express Inc.: ACG
19070,Associated Aviation Act.: AAA
19071,Antilles Air Boats Inc.: AAB (1)
19072,AAA Airlines: AAE
19073,Argosy Air Lines Inc.: AAL
19074,Air Bahia: ABH
19075,Airbama Incorporated: ABI
19076,Aeronaves Boringuena Inc.: ABO
19077,Alaska Central Airways Inc.: ACA
19078,Island Airlines Hawaii Inc.: ACH
19079,AAA-Action Air Carrier Inc.: ACI
