ORD-0001,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0002,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0003,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0004,pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0005,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0006,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0007,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0008,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0009,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0010,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0011,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0012,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
ORD-0013,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0014,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0015,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0016,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0017,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0018,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0019,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0020,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0021,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0022,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0023,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0024,tropical fruit,cream cheese ,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0025,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
ORD-0026,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0027,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0028,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0029,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0030,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0031,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0032,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0033,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0034,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0035,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0036,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0037,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0038,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0039,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0040,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0041,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0042,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,
ORD-0043,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0044,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0045,butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0046,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0047,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0048,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0049,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0050,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
ORD-0051,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0052,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0053,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0054,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
ORD-0055,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0056,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0057,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0058,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0059,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0060,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0061,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0062,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0063,sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0064,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0065,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0066,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0067,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0068,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0069,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0070,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0071,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0072,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0073,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0074,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0075,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0076,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0077,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0078,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0079,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0080,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0081,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0082,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,
ORD-0083,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0084,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0085,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0086,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0087,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0088,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0089,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0090,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0091,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0092,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0093,citrus fruit,butter milk,yogurt,cream cheese ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0094,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,
ORD-0095,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0096,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0097,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
ORD-0098,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,
ORD-0099,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0100,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0101,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0102,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,
ORD-0103,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0104,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,
ORD-0105,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0106,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0107,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0108,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0109,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0110,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0111,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
ORD-0112,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0113,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0114,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0115,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0116,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0117,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0118,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0119,whole milk,cream cheese ,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0120,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0121,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0122,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0123,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0124,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0125,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0126,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
ORD-0127,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0128,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0129,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0130,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0131,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0132,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0133,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0134,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0135,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0136,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0137,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0138,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0139,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0140,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0141,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0142,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0143,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0144,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0145,citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0146,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0147,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
ORD-0148,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0149,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-0150,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
